○,2,96,1
、,1,97,1
〇,8,90,1
〡,2,96,1
〢,4,94,2
〣,7,91,3
〤,4,94,1
〥,6,92,1
〦,3,95,1
〧,5,93,2
〨,7,91,3
〩,7,91,1
・,1,97,1
㐄,6,92,1
㐅,5,93,1
㐆,10,88,1
㐌,10,88,2
㐖,9,89,3
㐜,10,88,4
㐡,12,86,3
㐤,12,86,4
㐫,9,89,4
㐰,8,90,2
㐷,9,89,3
㐺,9,89,3
㑇,9,89,2
㑩,11,87,2
㒳,12,86,2
㒸,9,89,2
㔾,8,90,1
㕥,8,90,2
㕻,8,90,4
㖊,9,89,4
㖞,10,88,2
㗂,11,87,4
㗎,12,86,4
㚻,10,88,2
㛂,11,87,3
㝄,11,87,4
㝇,10,88,6
㝉,4,94,3
㝵,15,83,3
㞎,10,88,2
㞙,12,86,3
㞞,11,87,5
㢲,10,88,5
㢴,11,87,2
㤅,10,88,5
㥁,11,87,6
㥏,12,86,5
㥯,17,81,9
㦂,11,87,7
㧑,10,88,3
㧯,11,87,1
㧰,10,88,4
㨫,12,86,5
㩐,11,87,3
㪃,10,88,3
㪋,10,88,3
㫺,10,88,5
㬎,17,81,5
㮎,11,87,4
㮚,11,87,2
㮸,11,87,4
㯳,13,85,2
㱩,11,87,5
㱮,11,87,4
㱾,11,87,5
㲈,12,86,5
㲋,10,88,3
㲱,13,85,9
㲾,8,90,4
㳂,9,89,6
㳮,12,86,5
㵪,11,87,7
㵮,11,87,5
㶉,13,85,10
㶶,10,88,2
㶸,12,86,5
㷖,12,86,5
㷭,12,86,4
㹠,16,82,2
㹢,11,87,3
㹴,11,87,1
㺍,10,88,5
㺢,12,86,6
㺵,8,90,2
㻅,9,89,4
㻽,12,86,4
㽮,13,85,4
㿝,9,89,1
䁖,13,85,4
䂖,8,90,2
䂲,11,87,2
䂶,12,86,3
䃉,13,85,2
䅵,11,87,7
䇲,9,89,3
䉤,19,79,2
䌷,11,87,3
䌸,9,89,3
䌹,12,86,4
䌽,11,87,7
䍁,12,86,6
䍃,17,81,1
䍹,12,86,4
䒗,8,90,3
䓕,10,88,4
䔢,10,88,5
䕭,11,87,7
䖟,9,89,2
䖸,20,78,2
䗈,12,86,3
䗖,13,85,3
䗥,19,79,5
䗪,20,78,5
䗶,14,84,2
䙓,11,87,4
䛟,11,87,5
䜣,8,90,3
䜩,12,86,10
䝓,14,84,10
䝙,11,87,4
䞓,12,86,6
䟆,14,84,2
䟖,12,86,2
䠀,13,85,5
䠞,15,83,3
䤈,14,84,3
䥑,12,86,3
䥯,15,83,8
䦉,13,85,1
䦕,12,86,3
䩄,14,84,3
䩦,12,86,3
䫏,13,85,6
䬠,13,85,8
䬪,11,87,4
䯄,12,86,3
䯝,14,84,3
䲔,15,83,10
䲠,13,85,2
